PFAM	GO_term	GO	PFAM_description
PF00001	G protein-coupled receptor activity	GO:0004930	7tm_1
PF00001	G protein-coupled receptor signaling pathway	GO:0007186	7tm_1
PF00001	membrane	GO:0016020	7tm_1
PF00002	G protein-coupled receptor activity	GO:0004930	7tm_2
PF00002	G protein-coupled receptor signaling pathway	GO:0007186	7tm_2
PF00002	membrane	GO:0016020	7tm_2
PF00003	G protein-coupled receptor activity	GO:0004930	7tm_3
PF00003	G protein-coupled receptor signaling pathway	GO:0007186	7tm_3
PF00003	membrane	GO:0016020	7tm_3
PF00004	ATP binding	GO:0005524	AAA
PF00004	ATP hydrolysis activity	GO:0016887	AAA
PF00005	ATP binding	GO:0005524	ABC_tran
PF00005	ATP hydrolysis activity	GO:0016887	ABC_tran
PF00006	ATP binding	GO:0005524	ATP-synt_ab
PF00009	GTPase activity	GO:0003924	GTP_EFTU
PF00009	GTP binding	GO:0005525	GTP_EFTU
PF00010	protein dimerization activity	GO:0046983	HLH
PF00012	ATP binding	GO:0005524	HSP70
PF00012	ATP-dependent protein folding chaperone	GO:0140662	HSP70
PF00013	RNA binding	GO:0003723	KH_1
PF00014	serine-type endopeptidase inhibitor activity	GO:0004867	Kunitz_BPTI
PF00015	signal transduction	GO:0007165	MCPsignal
PF00015	membrane	GO:0016020	MCPsignal
PF00016	magnesium ion binding	GO:0000287	RuBisCO_large
PF00016	ribulose-bisphosphate carboxylase activity	GO:0016984	RuBisCO_large
PF00018	protein binding	GO:0005515	SH3_1
PF00019	growth factor activity	GO:0008083	TGF_beta
PF00020	protein binding	GO:0005515	TNFR_c6
PF00023	protein binding	GO:0005515	Ank
PF00025	GTPase activity	GO:0003924	Arf
PF00025	GTP binding	GO:0005525	Arf
PF00028	calcium ion binding	GO:0005509	Cadherin
PF00028	homophilic cell adhesion via plasma membrane adhesion molecules	GO:0007156	Cadherin
PF00028	membrane	GO:0016020	Cadherin
PF00031	cysteine-type endopeptidase inhibitor activity	GO:0004869	Cystatin
PF00032	electron transfer activity	GO:0009055	Cytochrom_B_C
PF00032	oxidoreductase activity	GO:0016491	Cytochrom_B_C
PF00032	membrane	GO:0016020	Cytochrom_B_C
PF00033	electron transfer activity	GO:0009055	Cytochrome_B
PF00033	oxidoreductase activity	GO:0016491	Cytochrome_B
PF00033	membrane	GO:0016020	Cytochrome_B
PF00034	electron transfer activity	GO:0009055	Cytochrom_C
PF00034	heme binding	GO:0020037	Cytochrom_C
PF00036	calcium ion binding	GO:0005509	EF-hand_1
PF00039	extracellular region	GO:0005576	fn1
PF00041	protein binding	GO:0005515	fn3
PF00042	heme binding	GO:0020037	Globin
PF00044	NAD binding	GO:0051287	Gp_dh_N
PF00046	DNA binding	GO:0003677	Homeodomain
PF00048	chemokine activity	GO:0008009	IL8
PF00048	immune response	GO:0006955	IL8
PF00048	extracellular region	GO:0005576	IL8
PF00049	hormone activity	GO:0005179	Insulin
PF00049	extracellular region	GO:0005576	Insulin
PF00050	protein binding	GO:0005515	Kazal_1
PF00056	oxidoreductase activity	GO:0016491	Ldh_1_N
PF00057	protein binding	GO:0005515	Ldl_recept_a
PF00060	ligand-gated monoatomic ion channel activity	GO:0015276	Lig_chan
PF00060	membrane	GO:0016020	Lig_chan
PF00063	cytoskeletal motor activity	GO:0003774	Myosin_head
PF00063	ATP binding	GO:0005524	Myosin_head
PF00063	myosin complex	GO:0016459	Myosin_head
PF00064	exo-alpha-sialidase activity	GO:0004308	Neur
PF00064	carbohydrate metabolic process	GO:0005975	Neur
PF00064	membrane	GO:0016020	Neur
PF00064	host cell membrane	GO:0033644	Neur
PF00064	virion membrane	GO:0055036	Neur
PF00067	monooxygenase activity	GO:0004497	p450
PF00067	iron ion binding	GO:0005506	p450
PF00067	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	p450
PF00067	heme binding	GO:0020037	p450
PF00068	phospholipase A2 activity	GO:0004623	Phospholip_A2_1
PF00068	phospholipid metabolic process	GO:0006644	Phospholip_A2_1
PF00068	arachidonic acid secretion	GO:0050482	Phospholip_A2_1
PF00069	protein kinase activity	GO:0004672	Pkinase
PF00069	ATP binding	GO:0005524	Pkinase
PF00069	protein phosphorylation	GO:0006468	Pkinase
PF00071	GTPase activity	GO:0003924	Ras
PF00071	GTP binding	GO:0005525	Ras
PF00072	phosphorelay signal transduction system	GO:0000160	Response_reg
PF00073	structural molecule activity	GO:0005198	Rhv
PF00075	nucleic acid binding	GO:0003676	RNase_H
PF00075	RNA-DNA hybrid ribonuclease activity	GO:0004523	RNase_H
PF00076	RNA binding	GO:0003723	RRM_1
PF00080	metal ion binding	GO:0046872	Sod_Cu
PF00080	superoxide metabolic process	GO:0006801	Sod_Cu
PF00081	superoxide dismutase activity	GO:0004784	Sod_Fe_N
PF00081	metal ion binding	GO:0046872	Sod_Fe_N
PF00081	superoxide metabolic process	GO:0006801	Sod_Fe_N
PF00082	serine-type peptidase activity	GO:0008236	Peptidase_S8
