KO	GO	GO_term
K00001	GO:0004022	alcohol dehydrogenase (NAD+) activity
K00014	GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
K00021	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
K00031	GO:0004450	isocitrate dehydrogenase (NADP+) activity
K00033	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
K00036	GO:0004345	glucose-6-phosphate dehydrogenase activity
K00053	GO:0004455	ketol-acid reductoisomerase activity
K00070	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
K00075	GO:0008762	UDP-N-acetylmuramate dehydrogenase activity
K00082	GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
K00107	GO:0003885	D-arabinono-1,4-lactone oxidase activity
K00116	GO:0008924	malate dehydrogenase (quinone) activity
K00121	GO:0004022	alcohol dehydrogenase (NAD+) activity
K00132	GO:0008774	acetaldehyde dehydrogenase (acetylating) activity
K00208	GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
K00209	GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
K00214	GO:0004074	biliverdin reductase (NAD(P)H) activity
K00215	GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase
K00215	GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase
K00221	GO:0018836	alkylmercury lyase activity
K00228	GO:0004109	coproporphyrinogen oxidase activity
K00232	GO:0003997	acyl-CoA oxidase activity
K00249	GO:0003995	acyl-CoA dehydrogenase activity
K00249	GO:0003995	acyl-CoA dehydrogenase activity
K00260	GO:0004352	glutamate dehydrogenase (NAD+) activity
K00276	GO:0008131	primary amine oxidase activity
K00276	GO:0008131	primary amine oxidase activity
K00276	GO:0008131	primary amine oxidase activity
K00279	GO:0019139	cytokinin dehydrogenase activity
K00287	GO:0004146	dihydrofolate reductase activity
K00287	GO:0004146	dihydrofolate reductase activity
K00288	GO:0004329	formate-tetrahydrofolate ligase activity
K00288	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
K00288	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
K00294	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
K00301	GO:0008115	sarcosine oxidase activity
K00302	GO:0008115	sarcosine oxidase activity
K00303	GO:0008115	sarcosine oxidase activity
K00304	GO:0008115	sarcosine oxidase activity
K00305	GO:0008115	sarcosine oxidase activity
K00306	GO:0008115	sarcosine oxidase activity
K00330	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00330	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00330	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00330	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00331	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00331	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00331	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00331	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00332	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00332	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00332	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00332	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00333	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00333	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00333	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00333	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00334	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00334	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00334	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00334	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00335	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00335	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00335	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00335	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00336	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00336	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00336	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00336	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00337	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00337	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00337	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00337	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00338	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00338	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00338	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00338	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00339	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00339	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00339	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00339	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00340	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00340	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00340	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00340	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00341	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00341	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00341	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00341	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00342	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00342	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00342	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00342	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00343	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00343	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00343	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00343	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00346	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00346	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00346	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00346	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00347	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00347	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00347	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00347	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00348	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00348	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00348	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00348	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00349	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00349	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00349	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00349	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00350	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00350	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00350	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00350	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00351	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00351	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00351	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00351	GO:0008137	NADH dehydrogenase (ubiquinone) activity
K00399	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00399	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00399	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00399	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00399	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00401	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00401	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00401	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00401	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00401	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00402	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00402	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00402	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00402	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00402	GO:0050524	coenzyme-B sulfoethylthiotransferase activity
K00404	GO:0004129	cytochrome-c oxidase activity
K00404	GO:0004129	cytochrome-c oxidase activity
K00404	GO:0004129	cytochrome-c oxidase activity
K00411	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00411	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00411	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00414	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00414	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00414	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00415	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00415	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00415	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00416	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00416	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00416	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00417	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00417	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00417	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00418	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00418	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00418	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00419	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00419	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00419	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00420	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00420	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00420	GO:0008121	ubiquinol-cytochrome-c reductase activity
K00422	GO:0004097	catechol oxidase activity
K00422	GO:0004097	catechol oxidase activity
K00430	GO:0004601	peroxidase activity
K00430	GO:0004601	peroxidase activity
K00430	GO:0004601	peroxidase activity
K00430	GO:0004601	peroxidase activity
K00452	GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
K00453	GO:0004833	tryptophan 2,3-dioxygenase activity
K00459	GO:0018580	nitronate monooxygenase activity
K00469	GO:0050113	inositol oxygenase activity
K00472	GO:0004656	procollagen-proline 4-dioxygenase activity
K00485	GO:0004499	N,N-dimethylaniline monooxygenase activity
K00501	GO:0004511	tyrosine 3-monooxygenase activity
K00510	GO:0004392	heme oxygenase (decyclizing) activity
K00511	GO:0004506	squalene monooxygenase activity
K00518	GO:0004784	superoxide dismutase activity
K00518	GO:0004784	superoxide dismutase activity
K00518	GO:0004784	superoxide dismutase activity
K00524	GO:0008998	ribonucleoside-triphosphate reductase activity
K00525	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
K00525	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
K00526	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
K00526	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
K00527	GO:0008998	ribonucleoside-triphosphate reductase activity
K00531	GO:0016163	nitrogenase activity
K00532	GO:0008901	ferredoxin hydrogenase activity
K00533	GO:0008901	ferredoxin hydrogenase activity
K00534	GO:0008901	ferredoxin hydrogenase activity
K00548	GO:0008705	methionine synthase activity
K00549	GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
K00549	GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
K00565	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity
K00565	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity
K00565	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity
K00567	GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
K00571	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
K00571	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00577	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00578	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00579	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
K00580	GO:0030269	tetrahydromethanopterin S-methyltransferase activity
