KO	Module	Module_desc
K12407	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K12407	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K12407	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
K00845	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00845	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K00845	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
K00845	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
K25026	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K25026	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K25026	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
K00886	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00886	M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K01810	M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
K01810	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
K06859	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K06859	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K13810	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K13810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K13810	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
K13810	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
K15916	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15916	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
K15916	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
K00850	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00850	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
K16370	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K16370	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
K21071	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K21071	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
K01623	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01623	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01623	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01624	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01624	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01624	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K01624	M00344	Formaldehyde assimilation, xylulose monophosphate pathway
K01624	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
K11645	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K11645	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K16305	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K16306	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01803	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01803	M00002	Glycolysis, core module involving three-carbon compounds
K01803	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01803	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00134	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00134	M00002	Glycolysis, core module involving three-carbon compounds
K00134	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K00134	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00134	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K00134	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
K00150	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00150	M00002	Glycolysis, core module involving three-carbon compounds
K00150	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K00150	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00927	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K00927	M00002	Glycolysis, core module involving three-carbon compounds
K00927	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K00927	M00165	Reductive pentose phosphate cycle (Calvin cycle)
K00927	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
K00927	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
K11389	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K11389	M00002	Glycolysis, core module involving three-carbon compounds
K01834	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01834	M00002	Glycolysis, core module involving three-carbon compounds
K01834	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K15633	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15633	M00002	Glycolysis, core module involving three-carbon compounds
K15633	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K15634	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15634	M00002	Glycolysis, core module involving three-carbon compounds
K15634	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K15635	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K15635	M00002	Glycolysis, core module involving three-carbon compounds
K15635	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
K01689	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K01689	M00002	Glycolysis, core module involving three-carbon compounds
K01689	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
