KO	pathway	pathway_description
K00001	map00010	Glycolysis / Gluconeogenesis
K00002	map00010	Glycolysis / Gluconeogenesis
K00016	map00010	Glycolysis / Gluconeogenesis
K00114	map00010	Glycolysis / Gluconeogenesis
K00121	map00010	Glycolysis / Gluconeogenesis
K00128	map00010	Glycolysis / Gluconeogenesis
K00129	map00010	Glycolysis / Gluconeogenesis
K00131	map00010	Glycolysis / Gluconeogenesis
K00134	map00010	Glycolysis / Gluconeogenesis
K00138	map00010	Glycolysis / Gluconeogenesis
K00149	map00010	Glycolysis / Gluconeogenesis
K00150	map00010	Glycolysis / Gluconeogenesis
K00161	map00010	Glycolysis / Gluconeogenesis
K00162	map00010	Glycolysis / Gluconeogenesis
K00163	map00010	Glycolysis / Gluconeogenesis
K00169	map00010	Glycolysis / Gluconeogenesis
K00170	map00010	Glycolysis / Gluconeogenesis
K00171	map00010	Glycolysis / Gluconeogenesis
K00172	map00010	Glycolysis / Gluconeogenesis
K00174	map00010	Glycolysis / Gluconeogenesis
K00175	map00010	Glycolysis / Gluconeogenesis
K00189	map00010	Glycolysis / Gluconeogenesis
K00382	map00010	Glycolysis / Gluconeogenesis
K00627	map00010	Glycolysis / Gluconeogenesis
K00844	map00010	Glycolysis / Gluconeogenesis
K00845	map00010	Glycolysis / Gluconeogenesis
K00850	map00010	Glycolysis / Gluconeogenesis
K00873	map00010	Glycolysis / Gluconeogenesis
K00886	map00010	Glycolysis / Gluconeogenesis
K00895	map00010	Glycolysis / Gluconeogenesis
K00918	map00010	Glycolysis / Gluconeogenesis
K00927	map00010	Glycolysis / Gluconeogenesis
K01006	map00010	Glycolysis / Gluconeogenesis
K01007	map00010	Glycolysis / Gluconeogenesis
K01084	map00010	Glycolysis / Gluconeogenesis
K01085	map00010	Glycolysis / Gluconeogenesis
K01086	map00010	Glycolysis / Gluconeogenesis
K01222	map00010	Glycolysis / Gluconeogenesis
K01223	map00010	Glycolysis / Gluconeogenesis
K01568	map00010	Glycolysis / Gluconeogenesis
K01596	map00010	Glycolysis / Gluconeogenesis
K01610	map00010	Glycolysis / Gluconeogenesis
K01622	map00010	Glycolysis / Gluconeogenesis
K01623	map00010	Glycolysis / Gluconeogenesis
K01624	map00010	Glycolysis / Gluconeogenesis
K01689	map00010	Glycolysis / Gluconeogenesis
K01785	map00010	Glycolysis / Gluconeogenesis
K01792	map00010	Glycolysis / Gluconeogenesis
K01803	map00010	Glycolysis / Gluconeogenesis
K01810	map00010	Glycolysis / Gluconeogenesis
K01834	map00010	Glycolysis / Gluconeogenesis
K01835	map00010	Glycolysis / Gluconeogenesis
K01837	map00010	Glycolysis / Gluconeogenesis
K01895	map00010	Glycolysis / Gluconeogenesis
K01905	map00010	Glycolysis / Gluconeogenesis
K01913	map00010	Glycolysis / Gluconeogenesis
K02446	map00010	Glycolysis / Gluconeogenesis
K02753	map00010	Glycolysis / Gluconeogenesis
K02777	map00010	Glycolysis / Gluconeogenesis
K02779	map00010	Glycolysis / Gluconeogenesis
K02791	map00010	Glycolysis / Gluconeogenesis
K03103	map00010	Glycolysis / Gluconeogenesis
K03737	map00010	Glycolysis / Gluconeogenesis
K03841	map00010	Glycolysis / Gluconeogenesis
K04022	map00010	Glycolysis / Gluconeogenesis
K04041	map00010	Glycolysis / Gluconeogenesis
K04072	map00010	Glycolysis / Gluconeogenesis
K06859	map00010	Glycolysis / Gluconeogenesis
K08074	map00010	Glycolysis / Gluconeogenesis
K10705	map00010	Glycolysis / Gluconeogenesis
K11389	map00010	Glycolysis / Gluconeogenesis
K11532	map00010	Glycolysis / Gluconeogenesis
K11645	map00010	Glycolysis / Gluconeogenesis
K12406	map00010	Glycolysis / Gluconeogenesis
K12407	map00010	Glycolysis / Gluconeogenesis
K12957	map00010	Glycolysis / Gluconeogenesis
K13810	map00010	Glycolysis / Gluconeogenesis
K13951	map00010	Glycolysis / Gluconeogenesis
K13952	map00010	Glycolysis / Gluconeogenesis
K13953	map00010	Glycolysis / Gluconeogenesis
K13954	map00010	Glycolysis / Gluconeogenesis
K13979	map00010	Glycolysis / Gluconeogenesis
K13980	map00010	Glycolysis / Gluconeogenesis
K14028	map00010	Glycolysis / Gluconeogenesis
K14029	map00010	Glycolysis / Gluconeogenesis
K14085	map00010	Glycolysis / Gluconeogenesis
K15633	map00010	Glycolysis / Gluconeogenesis
K15634	map00010	Glycolysis / Gluconeogenesis
K15635	map00010	Glycolysis / Gluconeogenesis
K15778	map00010	Glycolysis / Gluconeogenesis
K15779	map00010	Glycolysis / Gluconeogenesis
K15916	map00010	Glycolysis / Gluconeogenesis
K16305	map00010	Glycolysis / Gluconeogenesis
K16306	map00010	Glycolysis / Gluconeogenesis
K16370	map00010	Glycolysis / Gluconeogenesis
K18857	map00010	Glycolysis / Gluconeogenesis
K18978	map00010	Glycolysis / Gluconeogenesis
K20118	map00010	Glycolysis / Gluconeogenesis
K20866	map00010	Glycolysis / Gluconeogenesis
K21071	map00010	Glycolysis / Gluconeogenesis
K22224	map00010	Glycolysis / Gluconeogenesis
K22473	map00010	Glycolysis / Gluconeogenesis
K22474	map00010	Glycolysis / Gluconeogenesis
K24012	map00010	Glycolysis / Gluconeogenesis
K24182	map00010	Glycolysis / Gluconeogenesis
K25026	map00010	Glycolysis / Gluconeogenesis
K27394	map00010	Glycolysis / Gluconeogenesis
K00024	map00020	Citrate cycle (TCA cycle)
K00025	map00020	Citrate cycle (TCA cycle)
K00026	map00020	Citrate cycle (TCA cycle)
