KO	Meta	Isolate	log_odds	p	padj
K02341	53.0	62.0	-2.5736032460821927	1.1123479548766146e-36	1.2540834214367595e-36
K01964	171.0	297.0	-2.997466933979669	2.7078735266679993e-199	6.983022977112945e-199
K19577	3528.0	1978.0	-2.074733136967246	0.0	0.0
K05877	588.0	443.0	-2.179583902000722	9.211319052850594e-203	2.413934370312704e-202
K22431	126.0	206.0	-2.9252805354507703	1.7652497599556015e-135	3.596570707021014e-135
K21697	640.0	313.0	-1.7311082004256653	2.8159648463903316e-105	5.0419563642198e-105
K00224	805.0	644.0	-2.263589622768939	3.91691888525424e-307	1.4996888208985652e-306
K17995	261.0	396.0	-2.8752617197308354	2.330020939295926e-253	7.408726897773966e-253
K21023	65.0	88.0	-2.721543249130046	1.2001223250749747e-54	1.5367457437932684e-54
K18297	1177.0	897.0	-2.245457183072869	0.0	0.0
K07233	127.0	101.0	-2.196461378244218	1.7827867598577484e-48	2.1738972713337235e-48
K15558	4420.0	2669.0	-2.258659681345674	0.0	0.0
K01631	145.0	74.0	-1.7538373405547774	7.740253490319754e-27	8.298691817495467e-27
K20250	605.0	281.0	-1.6760536026577575	1.6337823460632195e-90	2.6826170456015092e-90
K20976	109.0	58.0	-1.7954153020012291	4.742810266370417e-22	4.989914666803161e-22
K18844	82.0	51.0	-1.9501841141245844	8.5797721307469e-22	9.017313500688452e-22
K07326	138.0	140.0	-2.442572905829701	9.07364591608539e-76	1.3364946690516361e-75
K19285	120.0	105.0	-2.2917431946826614	4.697391147341991e-53	5.928562214185658e-53
K18888	800.0	845.0	-2.568521781689017	0.0	0.0
K14334	56.0	55.0	-2.400853120230032	3.225915980714525e-30	3.511277381312397e-30
K11382	326.0	269.0	-2.2510418437733297	1.106685953917063e-129	2.1975746460018445e-129
K21064	153.0	139.0	-2.33268804847132	3.67199427523005e-71	5.246604088545532e-71
K12254	1641.0	1429.0	-2.4503149371408477	0.0	0.0
K16345	50.0	108.0	-3.184740532329758	2.366589521701668e-78	3.5548531267792296e-78
K03581	10513.0	1032.0	-0.10484977780954467	0.0031005953004654757	0.0031217895586512067
K11930	389.0	573.0	-2.8680265865138743	0.0	0.0
K12637	66.0	131.0	-3.1060409352868796	2.3771700030326943e-92	3.949856461575227e-92
K18244	1054.0	947.0	-2.41827671880521	0.0	0.0
K15555	4332.0	2663.0	-2.276432560523914	0.0	0.0
K11957	3447.0	2435.0	-2.3844626531389013	0.0	0.0
K18023	42.0	62.0	-2.8015016004573043	2.9924063406971974e-40	3.4418858415736254e-40
K10748	144.0	27.0	-0.7696098022173625	0.0011051828229050533	0.0011136329128990958
K16567	154.0	152.0	-2.4166350679386004	4.79917287290054e-81	7.383796543006421e-81
K11692	947.0	849.0	-2.403658476591969	0.0	0.0
K16014	485.0	607.0	-2.7089844812683306	0.0	0.0
K17873	71.0	141.0	-3.108295492154259	2.5635621039927483e-99	4.4346525101194065e-99
K07349	307.0	118.0	-1.4726968654564938	1.2837017856631137e-32	1.416030515991382e-32
K13891	654.0	816.0	-2.732493799883613	0.0	0.0
K17744	763.0	638.0	-2.3074215340752935	5.757991419204e-312	2.2353504672384e-311
K01702	48.0	69.0	-2.777049374386633	3.4914575368658826e-44	4.115137525211659e-44
K07714	544.0	403.0	-2.1580835554996987	1.946455018565521e-182	4.697757461675243e-182
K20596	74.0	41.0	-1.8368104435809285	1.6790465680537713e-16	1.7387645187785952e-16
K00108	392.0	417.0	-2.5226323790929674	1.3515622561220771e-229	3.930675829651198e-229
K06418	1.0	127.0	-6.586988286703403	7.557105973207134e-137	1.5510650292549722e-136
K09969	52.0	77.0	-2.8077448297362357	1.1065518267831652e-49	1.3639211293453337e-49
K16428	53.0	157.0	-3.504950717499807	2.784237824359642e-123	5.387736871867499e-123
K16164	322.0	267.0	-2.255703106994062	4.458753974176642e-129	8.80151356037707e-129
K03313	71.0	98.0	-2.742199806571701	3.740844597872985e-61	5.0239071456551104e-61
K15932	126.0	102.0	-2.214196543254451	1.962286092667905e-49	2.4121572783703653e-49
K18567	3327.0	1870.0	-2.0620355050797667	0.0	0.0
K20571	156.0	321.0	-3.169422325691747	1.2405741231538716e-227	3.5623825738271724e-227
K06861	170.0	280.0	-2.9423906788937844	1.9724287567039947e-184	4.792781763014849e-184
K23016	1724.0	987.0	-1.966012400219177	0.0	0.0
K16085	30.0	100.0	-3.605559221130798	3.785285957181057e-81	5.83104031792148e-81
K19858	79.0	124.0	-2.8732018865820868	7.72467133769881e-81	1.1866611674599889e-80
K23995	150.0	117.0	-2.1786756186605527	2.7049569445782315e-55	3.4787941393034884e-55
K12146	220.0	217.0	-2.4234516780785076	3.613467489178737e-115	6.805658212037276e-115
K13587	774.0	525.0	-2.0833417233292852	1.9533744402505965e-225	5.551929169565827e-225
K23448	767.0	696.0	-2.396854707456139	0.0	0.0
K22895	100.0	131.0	-2.6952490378492393	1.435760563274383e-79	2.1801967558757155e-79
K14987	1506.0	1077.0	-2.203517605691368	0.0	0.0
K03610	76.0	75.0	-2.407753193925217	9.67276600348578e-41	1.1174443401489454e-40
K14275	455.0	484.0	-2.5306940763223293	7.423943024111722e-267	2.4835742595024383e-266
K03201	404.0	92.0	-0.9480590634281222	2.2502516013774119e-13	2.3178239448165525e-13
K07492	189.0	280.0	-2.8368226137984656	2.2771752701629993e-177	5.38945829535742e-177
K04940	40.0	66.0	-2.911205041065323	1.7371571678611567e-44	2.0542344974377034e-44
K15582	656.0	815.0	-2.7280604870157137	0.0	0.0
K19181	568.0	636.0	-2.6008728798281804	0.0	0.0
K18029	509.0	512.0	-2.477995089957137	6.273815633244416e-275	2.162372243034276e-274
K24856	4089.0	2267.0	-2.1055189116009654	0.0	0.0
K12082	3242.0	322.0	-0.10985145969232776	0.07658502138285629	0.07696925287685015
K05914	966.0	890.0	-2.436393091677393	0.0	0.0
K05986	115.0	18.0	-0.6041959490353914	0.037724090596709885	0.03792857773706547
K20331	78.0	49.0	-1.960151215527736	3.902409222769816e-21	4.088549244274318e-21
K16018	264.0	333.0	-2.682891111807074	9.788681028081428e-198	2.502384614018979e-197
K21331	137.0	263.0	-3.092580097656095	1.8334107058518924e-182	4.427059216444685e-182
K23528	110.0	76.0	-2.054859899706554	6.329467275830409e-34	7.042428819675337e-34
K00508	57.0	63.0	-2.5179748417242793	2.4861371886692367e-36	2.79788203165293e-36
K11049	4465.0	2360.0	-2.0695055143531675	0.0	0.0
K19113	97.0	60.0	-1.9446424008390735	2.841333154651939e-25	3.025599923133513e-25
K12678	108.0	111.0	-2.4521258343962398	9.435982858794309e-61	1.262838112155048e-60
K03299	132.0	115.0	-2.2884569928560987	7.88532837571692e-58	1.0343039420007945e-57
K24129	255.0	170.0	-2.027271668876063	2.459686969730583e-72	3.5529600070408885e-72
K17745	3771.0	2168.0	-2.128629731266263	0.0	0.0
K18931	59.0	56.0	-2.367351844664561	3.11241631678501e-30	3.388474111838985e-30
