NCBIFam	Meta	Isolate	log_odds	p	padj
TIGR02666.1	78.0	36.0	-1.6574384134950746	7.655713676579468e-13	9.308904021232136e-13
NF010407.0	107.0	125.0	-2.580890150300264	2.23388582965325e-72	7.61882199625641e-72
NF010398.0	113.0	114.0	-2.4340300771204233	8.504601020896138e-62	2.354904375093023e-61
NF001923.0	80.0	96.0	-2.603662217100253	1.3919154228932535e-56	3.4964582030162863e-56
TIGR02315.1	107.0	229.0	-3.195823760482811	2.2015693220375614e-164	2.6387380874135914e-163
NF010461.0	112.0	35.0	-1.271608311883681	8.011718805550981e-9	9.401163745254927e-9
TIGR01662.1	99.0	105.0	-2.482590163171393	2.065200632079148e-58	5.315040890534985e-58
TIGR00680.1	72.0	116.0	-2.8977013934567064	1.991176170060404e-76	7.525210840903959e-76
TIGR01643.1	1315.0	294.0	-0.9393799506531731	1.9860135370298713e-38	3.273605810546291e-38
TIGR02534.1	87.0	61.0	-2.0687652035651762	8.71587413620918e-28	1.2290114958452946e-27
NF010410.0	90.0	124.0	-2.744251204953884	6.137708795119117e-77	2.351387068084447e-76
TIGR03739.1	112.0	102.0	-2.3311472733768257	1.1179762165162236e-52	2.521457111981483e-52
NF005559.1	1022.0	892.0	-2.3819913275530857	0.0	0.0
TIGR01228.1	55.0	89.0	-2.8972498733239123	4.564225786255839e-59	1.1929549640712302e-58
NF006944.0	30.0	71.0	-3.263487511835071	2.346559724240758e-53	5.364478497651215e-53
TIGR02743.1	362.0	229.0	-1.9807582676432824	1.071715791497674e-93	5.801093864945474e-93
TIGR02039.1	71.0	60.0	-2.2532221113760005	2.0408806585444852e-30	3.0040331096821456e-30
TIGR02761.1	203.0	84.0	-1.545098503727648	2.277618755371856e-25	3.0921070157880047e-25
TIGR01188.1	116.0	108.0	-2.353687048508085	2.5209750987495785e-56	6.276255512910672e-56
TIGR01352.1	321.0	130.0	-1.5256696560068677	1.237453924310212e-37	2.012061710264085e-37
TIGR00975.1	81.0	33.0	-1.5352070543491054	9.2724670993585e-11	1.1050568034604803e-10
TIGR00842.1	47.0	75.0	-2.880663525723448	9.18059964787106e-50	1.8740932127892505e-49
NF041638.1	102.0	100.0	-2.4040555544769275	1.2293755116309275e-53	2.8492984924263763e-53
NF041292.1	282.0	80.0	-1.168201011795622	3.288881171688024e-16	4.0758808021362667e-16
TIGR00971.1	30.0	71.0	-3.263487511835071	2.346559724240758e-53	5.364478497651215e-53
NF041267.1	638.0	23.0	0.8736915652766384	1.1123819066914372e-6	1.2715101086023375e-6
TIGR01879.1	110.0	171.0	-2.870458543953191	1.3409366636092484e-110	9.698671213518615e-110
NF005710.0	51.0	133.0	-3.374937814271321	2.441779974946374e-101	1.5063627933676527e-100
NF010451.0	164.0	38.0	-0.9728956769776221	1.8654504007956865e-6	2.120749168384256e-6
TIGR01401.1	130.0	70.0	-1.8071039423067456	1.6127738165984292e-26	2.24026031808954e-26
NF012211.1	60.0	65.0	-2.4985324625963243	4.239924915741544e-37	6.801715113398003e-37
TIGR02791.1	328.0	160.0	-1.7140669700528925	3.235763228228895e-54	7.625857720460794e-54
NF033523.0	198.0	32.0	-0.6173655400620163	0.003569928422402801	0.0038058067933874843
TIGR03781.1	402.0	29.0	0.1862082794075994	0.2914642007333691	0.2982176395308496
TIGR01403.1	156.0	56.0	-1.404403838171136	2.849471797978502e-15	3.5105827290807095e-15
NF010394.0	287.0	204.0	-2.094783559476231	3.471873400309533e-90	1.6740814844021254e-89
TIGR02525.1	77.0	28.0	-1.4255791506151938	1.754060922598269e-8	2.0468110070374793e-8
NF003621.0	50.0	56.0	-2.52996510543833	1.1800165823541479e-32	1.790296406139476e-32
TIGR00277.1	146.0	58.0	-1.5050607889715224	2.3419581515828202e-17	2.9239626327053364e-17
TIGR00905.1	60.0	55.0	-2.3329884469353344	3.2741786012216484e-29	4.703828504152334e-29
TIGR02246.1	125.0	96.0	-2.1613449838038266	3.0923902147496235e-45	5.689726732839767e-45
TIGR02378.1	39.0	82.0	-3.1520472181920605	2.321930975343011e-59	6.164873697192362e-59
TIGR00557.1	32.0	118.0	-3.709274676201102	1.3420283106634001e-97	7.765253466528226e-97
TIGR03177.1	66.0	120.0	-3.017649817205696	2.3176404703024287e-82	1.0023197704039885e-81
TIGR03754.1	366.0	57.0	-0.5704868044761907	0.00024768723907130606	0.0002730743673861049
TIGR01312.1	73.0	60.0	-2.225801867984749	5.7669250194439364e-30	8.414695810979935e-30
NF001933.0	63.0	72.0	-2.552166369154159	6.383715853825803e-42	1.1111903737261097e-41
NF006157.0	83.0	100.0	-2.6081716693291708	5.580383487344456e-59	1.4495175683845194e-58
TIGR02781.1	471.0	206.0	-1.60869445088672	3.560066654739212e-63	1.0229095627829447e-62
NF010460.0	202.0	44.0	-0.9090613616172145	1.0338085926751644e-6	1.1865463874890055e-6
TIGR00026.1	106.0	23.0	-0.9192865545993589	0.0005306923562061511	0.000576749853441659
TIGR01386.1	84.0	135.0	-2.8982453091137943	1.2150128964868283e-88	5.632021105814635e-88
NF033539.1	267.0	119.0	-1.6207442067828253	1.0129328260530462e-37	1.653405916456237e-37
NF001453.0	54.0	71.0	-2.6898933216518115	7.20417162041049e-44	1.2915170917787182e-43
NF008588.0	58.0	49.0	-2.252273890144146	4.0539364285938305e-25	5.468251870723832e-25
NF010413.0	92.0	123.0	-2.7143322008377404	2.0377604909768535e-75	7.465856121963232e-75
TIGR01784.1	70.0	368.0	-4.106238041190422	1.5e-323	5.4e-322
