PFAM	Meta	Isolate	log_odds	p	padj
PF00325	167.0	258.0	-2.8757833926737066	4.713559103495237e-166	1.9764616962850969e-165
PF19587	53.0	76.0	-2.776014329578828	1.8141358047211474e-48	2.841697555203793e-48
PF10593	222.0	31.0	-0.47233828805134664	0.028382311739196357	0.029251158016926855
PF01844	395.0	309.0	-2.2021046324802658	2.0660156013496975e-144	7.475629660335432e-144
PF13975	178.0	58.0	-1.3077573753030194	2.902481035063703e-14	3.318141458884342e-14
PF17803	123.0	117.0	-2.3759670022828847	1.456850872120968e-61	2.6173739953109118e-61
PF16640	306.0	26.0	0.018785524756827595	0.9201547712898419	0.9233345717953791
PF12706	364.0	551.0	-2.892546588695852	0.0	0.0
PF01276	52.0	69.0	-2.6985359903442507	7.836116391790528e-43	1.1528371360436603e-42
PF02878	100.0	76.0	-2.149377454637933	6.42781349644747e-36	8.71676050919292e-36
PF02729	51.0	89.0	-2.971399847022619	1.26752127106666e-60	2.251110024990712e-60
PF13954	256.0	134.0	-1.782441131578863	2.808395304402794e-48	4.384342938257856e-48
PF10685	82.0	38.0	-1.6608935094447377	1.6265386774147413e-13	1.850366967499728e-13
PF20695	68.0	112.0	-2.9188099120633497	2.027826455636263e-74	4.198432135867236e-74
PF06527	1449.0	251.0	-0.6778569613179214	2.1133248836048701e-19	2.512412336035882e-19
PF13155	1570.0	559.0	-1.434960716269613	1.7673766459968403e-139	6.220630225228272e-139
PF00589	16810.0	2862.0	-0.8731296934582364	1.6532013473708982e-250	1.029799176776018e-249
PF12679	170.0	294.0	-2.9928057080552724	5.463844224827519e-197	2.706292139504121e-196
PF08666	318.0	362.0	-2.58384393748397	1.5676111158280637e-205	8.056550048824318e-205
PF03323	3.0	165.0	-6.158565330494585	1.2106893992186792e-174	5.2964811193690985e-174
PF09407	172.0	28.0	-0.6279589291891634	0.006186602966026633	0.006421572247578136
PF13474	161.0	232.0	-2.80311293678839	1.7663450239033536e-145	6.441474867390094e-145
PF13946	85.0	34.0	-1.516646920783404	7.199336743950691e-11	8.001942227845673e-11
PF17918	59.0	58.0	-2.4020860657003	8.508790907261209e-32	1.104241412154625e-31
PF00205	593.0	563.0	-2.4261296964637435	4.849334839354238e-294	3.7550016106066317e-293
PF01510	59.0	161.0	-3.425031924065729	7.373892699249977e-124	2.3337265313838826e-123
PF04932	156.0	153.0	-2.410433173142403	2.5926404417866334e-81	5.81342060450806e-81
PF01906	33.0	84.0	-3.3386879644085092	4.2103121495801334e-64	7.78706618111039e-64
PF05114	146.0	79.0	-1.8121615835723253	7.826765945073126e-30	1.0022920226243037e-29
PF01252	45.0	160.0	-3.684565528291519	6.543877506759576e-131	2.187255747942805e-130
PF13807	67.0	160.0	-3.2934655183766868	8.097465259482729e-119	2.471801813111482e-118
PF02538	197.0	256.0	-2.703145335187178	6.10476928431705e-154	2.3714680681385464e-153
PF04248	93.0	73.0	-2.1811648372881804	3.308448067541951e-35	4.4579610562064693e-35
PF00208	80.0	103.0	-2.674216674303261	2.002911447398978e-62	3.623647423915752e-62
PF02678	269.0	173.0	-1.9916436432896787	7.35951834481351e-72	1.4827546500435199e-71
PF00676	183.0	308.0	-2.9675550724316935	1.9514232975889328e-204	9.962980923734265e-204
PF11154	230.0	196.0	-2.275132767713898	1.9543643586885316e-96	5.011024729838255e-96
PF14200	118.0	182.0	-2.864159749739233	2.661107068588134e-117	8.017836213139085e-117
PF05362	89.0	33.0	-1.442030410643584	6.547542100361487e-10	7.208502511440632e-10
PF01594	230.0	236.0	-2.465067863395103	1.2167805462171612e-127	3.96991742817762e-127
