PTU,oids,Latitude,Longitude
PTU-00000,3300021420,42.48,-72.18
PTU-00000,3300020623,42.48,-72.18
PTU-00000,3300044999,38.91,-120.66
PTU-00000,3300031753,39.08,-86.47
PTU-00000,3300050346,68.35,19.05
PTU-00000,3300020122,42.49,-85.46
PTU-00000,3300060646,63.88,-149.21
PTU-00000,3300056587,68.35,19.05
PTU-00000,3300041809,38.98,-106.97
PTU-00000,3300020582,42.48,-72.18
PTU-00000,3300045020,42.3,-72.12
PTU-00000,3300021178,42.48,-72.18
PTU-00000,3300050191,68.35,19.05
PTU-00000,3300048816,68.35,19.05
PTU-00000,3300044946,42.3,-72.12
PTU-00000,3300046712,68.36,19.04
PTU-00000,3300050019,68.35,19.05
PTU-00000,3300051666,49.0,13.36
PTU-00000,3300043783,42.3,-72.12
PTU-00000,3300005538,40.8,-76.34
PTU-00000,3300061205,33.38,-97.65
PTU-00000,3300021559,42.48,-72.18
PTU-00000,3300047509,47.55,-92.3
PTU-00000,3300048785,68.35,19.05
PTU-00000,3300056834,68.35,19.05
PTU-00000,3300050129,68.35,19.05
PTU-00000,3300046697,68.35,19.05
PTU-00000,3300048799,68.36,19.04
PTU-00000,3300044521,38.99,-107.06
PTU-00000,3300048827,68.35,19.05
PTU-00000,3300043628,38.98,-107.04
PTU-00000,3300005529,40.8,-76.34
PTU-00000,3300048809,68.35,19.05
PTU-00000,3300050345,68.35,19.05
PTU-00000,3300046711,68.36,19.04
PTU-00000,3300048814,68.35,19.05
PTU-00000,3300036830,37.0,-122.2
PTU-00000,3300027889,38.0,-97.0
PTU-00000,3300027869,40.8,-76.34
PTU-00000,3300060650,63.88,-149.21
PTU-00000,3300050027,68.35,19.05
PTU-00000,3300044710,42.3,-72.12
PTU-00000,3300036780,35.5,-121.0
PTU-00000,3300048794,68.35,19.04
PTU-00000,3300020581,42.48,-72.18
PTU-00000,3300050137,68.35,19.05
PTU-00000,3300020919,42.48,-72.18
PTU-00000,3300043787,42.3,-72.12
PTU-00000,3300051671,48.91,13.56
PTU-00000,3300050349,68.36,19.04
PTU-00000,3300031718,39.08,-86.47
PTU-00000,3300039537,63.88,-149.23
PTU-00000,3300020809,42.48,-72.18
PTU-00000,3300060357,38.91,-120.66
PTU-00000,3300043811,42.3,-72.12
PTU-00000,3300050141,68.35,19.05
PTU-00000,3300048779,68.35,19.05
PTU-00000,3300045242,47.55,-92.3
PTU-00000,3300020775,42.48,-72.18
PTU-00000,3300005445,42.39,-85.37
PTU-00000,3300037248,42.53,-72.19
PTU-00000,3300048797,68.35,19.04
PTU-00000,3300021402,42.48,-72.18
PTU-00000,3300048771,68.35,19.05
PTU-00000,3300050352,68.35,19.05
PTU-00000,3300050116,68.35,19.05
PTU-00000,3300044979,42.3,-72.12
PTU-00000,3300043788,42.3,-72.12
