	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00000	1	1	1	1	0	1	0	1
PTU-00001	0	1	0	1	0	0	1	0
PTU-00002	1	1	1	0	1	1	0	0
PTU-00003	1	1	1	1	1	1	0	1
PTU-00004	0	1	1	1	0	1	0	1
PTU-00005	1	1	0	0	1	1	0	0
PTU-00006	0	1	1	0	1	1	0	0
PTU-00007	1	1	1	1	1	1	0	1
PTU-00008	0	1	1	1	0	0	0	0
PTU-00009	0	1	0	1	0	0	0	0
PTU-00010	0	1	0	1	1	0	0	0
PTU-00011	1	1	1	1	1	1	0	1
PTU-00012	0	1	0	1	0	1	0	1
PTU-00013	0	1	1	1	0	1	0	0
PTU-00014	0	1	1	1	0	1	0	1
PTU-00015	0	1	0	1	0	0	0	0
PTU-00016	0	1	0	1	0	0	1	0
PTU-00017	1	1	1	0	1	0	0	0
PTU-00018	0	1	1	0	0	1	0	0
PTU-00019	0	0	0	1	1	1	0	1
PTU-00020	0	0	1	0	0	1	0	0
PTU-00021	0	1	0	1	1	0	1	0
PTU-00022	1	1	1	1	0	1	0	1
PTU-00023	1	1	1	0	1	1	1	1
PTU-00024	0	0	0	1	0	0	0	1
PTU-00025	1	0	0	0	1	0	0	1
PTU-00026	0	0	0	0	1	1	0	0
PTU-00027	0	1	0	0	1	0	0	0
PTU-00028	0	1	0	1	0	0	0	0
PTU-00029	1	0	1	0	1	0	0	1
PTU-00030	1	1	1	0	1	1	1	1
PTU-00031	1	0	0	0	1	0	0	0
PTU-00032	0	1	0	1	0	0	0	0
PTU-00033	1	0	0	0	1	0	0	0
PTU-00034	0	1	0	1	0	0	0	0
PTU-00035	0	1	0	1	0	0	0	0
PTU-00036	0	1	0	1	0	0	0	0
PTU-00037	1	1	0	0	1	1	0	1
PTU-00038	0	0	0	1	0	0	0	0
PTU-00039	1	0	0	0	1	0	0	0
PTU-00040	1	1	1	1	1	1	0	1
PTU-00041	1	0	0	0	1	0	0	0
PTU-00042	0	1	1	1	0	1	0	0
PTU-00043	1	1	1	1	0	1	0	1
PTU-00044	0	0	1	1	0	1	0	1
PTU-00045	0	1	0	0	1	0	0	0
PTU-00046	0	0	0	0	1	0	0	0
PTU-00047	1	1	1	0	1	1	0	1
PTU-00048	0	0	0	0	1	0	0	0
PTU-00049	0	1	0	1	0	0	1	0
PTU-00050	1	1	0	0	1	1	0	1
PTU-00051	0	1	0	1	0	0	0	0
PTU-00052	0	1	1	1	0	1	0	1
PTU-00053	1	1	0	0	1	1	0	0
PTU-00054	1	0	1	0	0	1	0	0
PTU-00055	1	0	0	0	1	0	0	0
PTU-00056	0	0	0	0	1	0	0	0
PTU-00057	0	1	0	0	1	0	0	0
PTU-00058	0	0	0	0	1	1	0	1
PTU-00059	0	0	0	0	1	0	0	1
PTU-00060	1	0	1	1	1	1	1	1
PTU-00061	0	0	0	0	1	0	0	0
PTU-00062	1	0	0	0	1	1	1	0
PTU-00063	0	1	0	0	1	0	0	1
PTU-00064	1	1	1	0	1	1	0	1
PTU-00065	0	1	1	1	0	1	0	0
PTU-00066	0	0	0	0	1	0	0	0
PTU-00067	0	0	0	1	0	0	0	0
PTU-00068	0	1	0	1	0	0	0	0
PTU-00069	0	1	0	1	0	0	0	0
PTU-00070	0	1	1	1	0	0	0	1
PTU-00071	0	0	0	1	0	0	0	0
PTU-00072	0	0	0	0	1	0	0	0
PTU-00073	1	1	1	0	0	1	0	0
PTU-00074	0	1	0	0	1	0	0	0
PTU-00075	0	0	1	0	1	1	0	1
PTU-00076	1	0	1	0	1	1	0	1
PTU-00077	0	0	0	0	0	0	0	1
PTU-00078	1	0	0	0	1	0	0	0
PTU-00079	1	0	0	0	1	1	0	1
PTU-00080	0	1	0	1	0	0	0	0
PTU-00081	1	1	1	1	0	1	0	1
PTU-00082	1	0	0	0	1	0	0	1
PTU-00083	0	1	0	1	0	0	0	0
PTU-00084	1	1	1	0	1	0	1	0
PTU-00085	0	0	0	0	1	0	0	0
PTU-00086	1	1	1	0	1	1	1	0
PTU-00087	0	0	1	0	0	0	0	0
PTU-00088	0	0	0	0	1	0	0	0
PTU-00089	1	1	1	0	1	1	0	0
PTU-00090	1	1	1	0	1	0	1	1
PTU-00091	1	0	1	1	1	1	0	1
PTU-00092	0	0	0	0	1	1	0	0
PTU-00093	0	0	0	0	1	1	0	0
PTU-00094	1	1	0	0	1	1	0	0
PTU-00095	1	1	1	1	1	1	1	1
PTU-00096	0	0	1	1	0	1	0	1
PTU-00097	1	0	1	0	1	0	0	1
PTU-00098	1	0	0	0	1	1	0	1
PTU-00099	0	1	0	1	0	0	0	0
PTU-00100	0	1	0	1	1	1	0	0
PTU-00101	0	1	0	1	0	0	0	0
PTU-00102	1	0	1	1	1	1	0	1
PTU-00103	0	0	0	0	1	0	0	0
PTU-00104	0	0	0	0	1	0	0	0
PTU-00105	1	0	0	0	1	0	0	0
