taxon_oid,Ecosystem Subtype,Latitude,Longitude,Origin,Plasmid Count,Ecosystem Subtype Custom
3300044459,Watershed,38.98,-107.07,Meta,2,Other
3300046473,Rhizosphere,46.12,-123.27,Meta,57,Rhizosphere
3300027907,Rhizosphere,35.84,-83.96,Meta,35,Rhizosphere
3300052899,Temperate forest,39.94,-105.94,Meta,6,Temperate forest
3300046483,Peat,68.35,19.04,Meta,1,Peat
3300025927,Rhizosphere,42.39,-85.37,Meta,31,Rhizosphere
3300042825,Floodplain,38.92,-106.95,Meta,3,Other
3300005445,Rhizosphere,42.39,-85.37,Meta,57,Rhizosphere
3300012900,Agricultural land,43.3,-89.38,Meta,2,Agricultural land
3300046703,Peat,68.35,19.04,Meta,8,Peat
3300006163,Rhizosphere,42.48,-85.45,Meta,6,Rhizosphere
3300046400,Temperate forest,35.69,-83.5,Meta,3,Temperate forest
3300049323,Watershed,38.98,-107.04,Meta,1,Other
3300042531,Rhizosphere,41.95,-103.7,Meta,19,Rhizosphere
3300060854,Tropical forest,17.97,-66.86,Meta,23,Tropical forest
3300046780,Agricultural land,46.12,-123.27,Meta,38,Agricultural land
3300026981,Tropical forest,18.0,-65.0,Meta,1,Tropical forest
3300043485,Watershed,38.92,-106.95,Meta,1,Other
3300011249,Unclassified,79.48,12.09,Meta,10,Unclassified
3300043475,Watershed,38.92,-106.95,Meta,3,Other
3300061536,Grasslands,33.41,-97.59,Meta,236,Grasslands
3300020864,Temperate forest,42.48,-72.18,Meta,2,Temperate forest
3300042981,Unclassified,37.27,127.9,Meta,23,Unclassified
3300048988,Unclassified,40.44,-106.05,Meta,8,Unclassified
3300005842,Rhizosphere,42.39,-85.37,Meta,80,Rhizosphere
3300049665,Rhizosphere,37.85,-122.29,Meta,8,Rhizosphere
3300039664,Unclassified,-41.53,145.9,Meta,23,Unclassified
3300014326,Rhizosphere,42.39,-85.37,Meta,27,Rhizosphere
3300039505,Unclassified,40.8,-76.34,Meta,27,Unclassified
3300050028,Peat,68.35,19.05,Meta,206,Peat
3300002741,Unclassified,35.91,-79.05,Meta,40,Unclassified
3300020848,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300025922,Rhizosphere,42.39,-85.37,Meta,69,Rhizosphere
3300043480,Watershed,38.96,-106.99,Meta,4,Other
3300049706,Rhizosphere,37.85,-122.29,Meta,7,Rhizosphere
3300047653,Peat,68.36,19.05,Meta,125,Peat
3300043666,Watershed,38.99,-107.06,Meta,13,Other
3300043783,Temperate forest,42.3,-72.12,Meta,60,Temperate forest
3300061211,Shrubland,40.19,-112.47,Meta,93,Other
3300044481,Unclassified,35.79,-78.64,Meta,1,Unclassified
3300020939,Temperate forest,42.48,-72.18,Meta,6,Temperate forest
3300061734,Rhizosphere,29.41,-82.18,Meta,8,Rhizosphere
3300018465,Riparian zone,33.59,-109.14,Meta,8,Other
3300012905,Agricultural land,43.3,-89.38,Meta,2,Agricultural land
3300047090,Agricultural land,46.12,-123.27,Meta,33,Agricultural land
2209111006,Rhizosphere,35.9,-79.05,Meta,1,Rhizosphere
3300020579,Temperate forest,42.48,-72.18,Meta,71,Temperate forest
3300035178,Agricultural land,57.19,-2.21,Meta,2,Agricultural land
3300042820,Floodplain,38.92,-106.95,Meta,4,Other
3300005440,Rhizosphere,42.39,-85.37,Meta,17,Rhizosphere
3300020614,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300039933,Boreal forest/Taiga,60.23,25.01,Meta,8,Other
3300036784,Temperate forest,-33.6,150.0,Meta,40,Temperate forest
3300049138,Unclassified,35.88,-106.3,Meta,68,Unclassified
3300026959,Tropical forest,18.0,-65.0,Meta,1,Tropical forest
3300046838,Agricultural land,46.12,-123.27,Meta,41,Agricultural land
3300030735,Rhizosphere,-27.57,151.86,Meta,4,Rhizosphere
3300020582,Temperate forest,42.48,-72.18,Meta,74,Temperate forest
3300035725,Rhizosphere,46.11,-122.99,Meta,29,Rhizosphere
3300021178,Temperate forest,42.48,-72.18,Meta,109,Temperate forest
3300037475,Grasslands,41.9,-89.36,Meta,7,Grasslands
3300042130,Rhizosphere,41.18,-98.0,Meta,1,Rhizosphere
3300027842,Unclassified,40.8,-76.34,Meta,14,Unclassified
3300020908,Temperate forest,42.48,-72.18,Meta,1,Temperate forest
3300045253,Temperate forest,47.55,-92.3,Meta,12,Temperate forest
3300046511,Rhizosphere,46.12,-123.27,Meta,65,Rhizosphere
3300050242,Agricultural land,43.3,-89.33,Meta,211,Agricultural land
3300021441,Rhizosphere,-19.28,-43.59,Meta,2,Rhizosphere
3300046680,Rhizosphere,46.12,-123.27,Meta,142,Rhizosphere
3300025929,Rhizosphere,42.48,-85.45,Meta,44,Rhizosphere
3300049196,Grasslands,38.53,-121.78,Meta,3,Grasslands
3300050010,Peat,68.35,19.05,Meta,158,Peat
