profile,Meta,Isolate,log_odds,p,padj,Name,full
PF18932,1069,2,3.476064256839725,6.418932162124476e-37,8.854619603690712e-37,Family of unknown function (DUF5681),Family of unknown function (DUF5681) - PF18932
PF11149,540,2,2.7881525659271347,1.4822201101187415e-17,1.7381107096445415e-17,Protein of unknown function (DUF2924),Protein of unknown function (DUF2924) - PF11149
TIGR03803.1,121,0,2.3929522433975823,7.568166257144012e-5,8.410187403634207e-5,NA,NA - TIGR03803.1
NF002331.0,337,2,2.315518125827508,2.409038337406631e-10,2.862865672923744e-10,site-specific tyrosine recombinase XerC,site-specific tyrosine recombinase XerC - NF002331.0
PF11994,449,4,2.0918940237200463,3.4163838256901863e-12,3.839506350787762e-12,Protein of unknown function (DUF3489),Protein of unknown function (DUF3489) - PF11994
PF16793,1874,21,2.0513035438004157,1.8271606114870163e-44,2.73309343237884e-44,RepB DNA-primase from phage plasmid,RepB DNA-primase from phage plasmid - PF16793
TIGR01558.1,131,1,1.7785741361394984,3.397036982871215e-4,3.725639253109738e-4,phage terminase small subunit P27 family,phage terminase small subunit P27 family - TIGR01558.1
TIGR03433.1,185,2,1.7165298605838517,2.656226464604736e-5,2.9674753712428405e-5,PadR family transcriptional regulator,PadR family transcriptional regulator - TIGR03433.1
PF20410,162,2,1.5842782094488848,1.6599295844763864e-4,1.751142790526179e-4,"X-Tfes, XVIPCD","X-Tfes, XVIPCD - PF20410"
PF11726,105,1,1.5589231724826096,0.0021641925393049667,0.002260530246765035,Inovirus Gp2,Inovirus Gp2 - PF11726
NF010474.0,220,5,1.195817670556842,2.3471742373121375e-4,2.591156822506425e-4,type IV secretion system protein VirB3,type IV secretion system protein VirB3 - NF010474.0
PF17289,395,10,1.1742609582220571,1.8624582026461478e-6,2.006720966951299e-6,Terminase RNaseH-like domain,Terminase RNaseH-like domain - PF17289
PF09720,99,2,1.095000240282563,0.016966472910241476,0.01752472946664782,Putative addiction module component,Putative addiction module component - PF09720
TIGR01630.1,362,10,1.0868825154394246,1.651851321080713e-5,1.8503381286872076e-5,phage terminase large subunit,phage terminase large subunit - TIGR01630.1
TIGR03782.1,261,7,1.0785259375397749,2.0881008429252565e-4,2.3081905233389858e-4,conjugative transposon protein TraJ,conjugative transposon protein TraJ - TIGR03782.1
PF21781,313,9,1.0367616530431105,9.488419870241986e-5,1.0041730915067031e-4,Family of unknown function (DUF6876),Family of unknown function (DUF6876) - PF21781
K14628,149,4,0.9899476688138795,0.007396290370990951,0.007442359288310767,enoyl reductase,enoyl reductase - K14628
PF13335,148,4,0.9832476043669403,0.007356174775367033,0.00762874732284715,"Magnesium chelatase, subunit ChlI C-terminal","Magnesium chelatase, subunit ChlI C-terminal - PF13335"
TIGR03434.1,246,8,0.9014968723192888,0.0018051592514713374,0.001936737355478839,ADOP family duplicated permease,ADOP family duplicated permease - TIGR03434.1
PF10543,107,3,0.8842451195567052,0.03503680484457533,0.036061363603876156,ORF6N domain,ORF6N domain - PF10543
NF041267.1,638,23,0.8736915652766384,1.1123819066914372e-6,1.2715101086023375e-6,relaxase/mobilization nuclease RlxS,relaxase/mobilization nuclease RlxS - NF041267.1
PF09357,153,5,0.8338647469191733,0.019034403274092088,0.019643233587612583,RteC protein,RteC protein - PF09357
PF07863,251,9,0.8161092371630181,0.0030633301075563358,0.0031910833362571154,Homologues of TraJ from Bacteroides conjugative transposon,Homologues of TraJ from Bacteroides conjugative transposon - PF07863
PF05119,140,5,0.745528126435401,0.03320014183241006,0.03418613895243288,"Phage terminase, small subunit","Phage terminase, small subunit - PF05119"
K14059,5608,263,0.674878422274447,3.1526896421143977e-31,3.4473078008098044e-31,integrase,integrase - K14059
K05540,104,4,0.6327749226733825,0.11136242147786843,0.11176412961145593,tRNA-dihydrouridine synthase B [EC:1.-.-.-],tRNA-dihydrouridine synthase B [EC:1.-.-.-] - K05540
K05539,102,4,0.6135214764072491,0.10994214767909857,0.11036084898314805,tRNA-dihydrouridine synthase A [EC:1.-.-.-],tRNA-dihydrouridine synthase A [EC:1.-.-.-] - K05539
PF05930,2123,107,0.5770093471774665,2.2580115623367253e-10,2.4989808762783295e-10,Prophage CP4-57 regulatory protein (AlpA),Prophage CP4-57 regulatory protein (AlpA) - PF05930
PF19607,967,48,0.57582755216636206,1.5394204932043376e-5,1.6426613714807884e-5,Family of unknown function (DUF6112),Family of unknown function (DUF6112) - PF19607
PF14684,182,9,0.49540135131258245,0.0853895911214031,0.08738326879956801,Tricorn protease C1 domain,Tricorn protease C1 domain - PF14684
PF02646,107,5,0.4785347085845159,0.16956159501258983,0.17268372872172125,RmuC family,RmuC family - PF02646
K07319,515,30,0.401721921658601,0.018762264742519033,0.018867755387657694,adenine-specific DNA-methyltransferase [EC:2.1.1.72],adenine-specific DNA-methyltransferase [EC:2.1.1.72] - K07319
K12049,2164,131,0.3929108239030629,3.7926276564126984e-6,3.838617482480759e-6,ComB9 competence protein,ComB9 competence protein - K12049
NF002469.0,210,12,0.37534932258148673,0.1417525033516031,0.14682759297777162,carbon storage regulator CsrA,carbon storage regulator CsrA - NF002469.0
TIGR02686.1,5330,337,0.36416000164208745,2.286480487401167e-11,2.748362648896245e-11,conjugative relaxase,conjugative relaxase - TIGR02686.1
NF041326.1,205,12,0.35131197754202265,0.17281485633984522,0.17878133719991388,conjugal transfer protein MobC,conjugal transfer protein MobC - NF041326.1
NF041492.1,11520,757,0.3471316402569628,4.978175156370452e-20,6.347551605159285e-20,MobF family relaxase,MobF family relaxase - NF041492.1
PF04796,2390,152,0.34449224551038643,1.5454166357572752e-5,1.648302499937626e-5,Plasmid encoded RepA protein,Plasmid encoded RepA protein - PF04796
PF06071,124,7,0.33697722276784037,0.26739537979484695,0.27124867566088623,Protein of unknown function (DUF933),Protein of unknown function (DUF933) - PF06071
PF08751,11704,784,0.32662459612768424,2.5551880289272796e-18,3.005418628454719e-18,TrwC relaxase,TrwC relaxase - PF08751
TIGR00202.1,197,12,0.3116142548803464,0.2545089754636889,0.2610428244670354,carbon storage regulator CsrA,carbon storage regulator CsrA - TIGR00202.1
NF010446.0,2669,179,0.2921122443597299,8.997260963926101e-5,9.985055487743385e-5,conjugal transfer protein TrbF,conjugal transfer protein TrbF - NF010446.0
K07505,172,11,0.25652814770873666,0.34461187870424603,0.34543960939769097,regulatory protein RepA,regulatory protein RepA - K07505
TIGR03781.1,402,29,0.1862082794075994,0.2914642007333691,0.2982176395308496,conjugative transposon protein TraK,conjugative transposon protein TraK - TIGR03781.1
PF10038,2181,167,0.1552273341040304,0.047966240086292175,0.049216243692781235,Protein of unknown function (DUF2274),Protein of unknown function (DUF2274) - PF10038
PF01807,784,60,0.1436854219565974,0.2572856206183408,0.26122137093374376,CHC2 zinc finger,CHC2 zinc finger - PF01807
PF13541,151,11,0.12688496510817296,0.6663397514423202,0.6715432722778784,Subunit ChlI of Mg-chelatase,Subunit ChlI of Mg-chelatase - PF13541
PF01346,100,7,0.12351938711950343,0.723203024258857,0.728218736607423,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase,Domain amino terminal to FKBP-type peptidyl-prolyl isomerase - PF01346
PF05063,136,10,0.10995423551466783,0.6517088442785898,0.6570831793659565,MT-A70,MT-A70 - PF05063
NF010449.0,2024,164,0.09717104521709036,0.22242186261336871,0.22925300090002007,conjugal transfer protein TrbL,conjugal transfer protein TrbL - NF010449.0
NF040486.1,96,7,0.08306583253549372,0.721125364758296,0.727192525279099,SrfA family protein,SrfA family protein - NF040486.1
NF012200.0,108,8,0.08192905156146424,0.7356545807075664,0.7409534132216665,choice-of-anchor D domain-containing protein,choice-of-anchor D domain-containing protein - NF012200.0
NF010448.0,1980,164,0.07470445382945066,0.34032999053583235,0.3473684453279359,conjugal transfer protein TrbJ,conjugal transfer protein TrbJ - NF010448.0
K03773,95,7,0.0726920462639409,0.8559610121377612,0.8564740756815001,FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8],FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8] - K03773
PF02599,273,22,0.06553744788866701,0.7497318233167992,0.754277620426559,Global regulator protein family,Global regulator protein family - PF02599
NF010447.0,2091,175,0.06455359923131544,0.39490394549046753,0.4025813004453247,conjugal transfer protein TrbE,conjugal transfer protein TrbE - NF010447.0
PF13356,2106,177,0.06031595741159802,0.44064507543125864,0.4456327863416691,Arm DNA-binding domain,Arm DNA-binding domain - PF13356
TIGR03779.1,247,20,0.0567689804459387,0.7385065986617718,0.7429340962556673,conjugative transposon protein TraM,conjugative transposon protein TraM - TIGR03779.1
PF07508,3238,274,0.05591437308653799,0.38105761573829194,0.38553869397214813,Recombinase,Recombinase - PF07508
TIGR02595.1,282,23,0.05527273191525307,0.7541740810400901,0.755976169644726,PEP-CTERM sorting domain-containing protein,PEP-CTERM sorting domain-containing protein - TIGR02595.1
PF12991,230,19,0.03448339064822436,0.8177426943132512,0.8223447094760531,"Domain of unknown function, B. Theta Gene description (DUF3875)","Domain of unknown function, B. Theta Gene description (DUF3875) - PF12991"
K24451,357,30,0.03439111168326352,0.8526712486831831,0.8533528404087493,modification methylase,modification methylase - K24451
PF16640,306,26,0.018785524756827595,0.9201547712898419,0.9233345717953791,Bacterial Ig-like domain (group 3),Bacterial Ig-like domain (group 3) - PF16640
PF05960,146,12,0.01321598310574253,0.8851510034321598,0.8885936823564855,Bacterial protein of unknown function (DUF885),Bacterial protein of unknown function (DUF885) - PF05960
PF03524,11229,994,0.012911033783630583,0.7117864531731248,0.7170337947619987,Conjugal transfer protein,Conjugal transfer protein - PF03524
NF041893.1,1128,99,0.01177528133816384,0.916666789912034,0.917760664363003,TraI/MobA(P) family conjugative relaxase,TraI/MobA(P) family conjugative relaxase - NF041893.1
K12209,3969,352,0.008120758488352975,0.8873875623023747,0.8875647916936873,intracellular multiplication protein IcmE,intracellular multiplication protein IcmE - K12209
PF08299,100,8,0.005613641613178627,1,1,Bacterial dnaA protein helix-turn-helix,Bacterial dnaA protein helix-turn-helix - PF08299
PF14462,245,21,0.0020060185905788936,1,1,Prokaryotic E2 family E,Prokaryotic E2 family E - PF14462
PF20112,144,12,-5.049308135259106e-4,1,1,Family of unknown function (DUF6502),Family of unknown function (DUF6502) - PF20112
PF11074,99,8,-0.004347686567076708,1,1,Domain of unknown function(DUF2779),Domain of unknown function(DUF2779) - PF11074
NF010450.0,1943,174,-0.004672379225961314,1,1,IncP-type conjugal transfer protein TraG,IncP-type conjugal transfer protein TraG - NF010450.0
PF14236,98,8,-0.01440901763949548,1,1,Druantia protein DruA,Druantia protein DruA - PF14236
K20530,11076,1009,-0.019823403765557624,0.5836684329468671,0.5847192462888399,type IV secretion system protein TrbE [EC:7.4.2.8],type IV secretion system protein TrbE [EC:7.4.2.8] - K20530
K03199,11424,1049,-0.028993648466399922,0.41236521297018613,0.41327296108759104,type IV secretion system protein VirB4 [EC:7.4.2.8],type IV secretion system protein VirB4 [EC:7.4.2.8] - K03199
K12521,107,9,-0.03278193703038826,1,1,minor pilin subunit PapF,minor pilin subunit PapF - K12521
TIGR01764.1,4888,451,-0.03304672471735815,0.538673251635877,0.5464895503295052,excisionase family DNA-binding protein,excisionase family DNA-binding protein - TIGR01764.1
K20531,9877,913,-0.03606713968410055,0.33423182410231217,0.3351016967175935,type IV secretion system protein TrbF,type IV secretion system protein TrbF - K20531
PF05101,9871,917,-0.04167430357220144,0.26512412247756784,0.269062182837654,"Type IV secretory pathway, VirB3-like protein","Type IV secretory pathway, VirB3-like protein - PF05101"
K07316,545,50,-0.041752786574681,0.8808752297480351,0.8812271575266,adenine-specific DNA-methyltransferase [EC:2.1.1.72],adenine-specific DNA-methyltransferase [EC:2.1.1.72] - K07316
PF07520,106,9,-0.042095331416005924,1,1,Virulence factor SrfB,Virulence factor SrfB - PF07520
