seq_id	seq_len	gaps	gap_rate
UHGV-0000017_42	619	12281	19.840064620355413
UHGV-0000018_24	465	12435	26.741935483870968
UHGV-0000019_46	552	12348	22.369565217391305
UHGV-0000020_25	589	12311	20.901528013582343
UHGV-0000025_26	594	12306	20.717171717171716
UHGV-0000027_15	450	12450	27.666666666666668
UHGV-0000027_43	570	12330	21.63157894736842
UHGV-0000031_26	521	12379	23.760076775431862
UHGV-0000032_32	467	12433	26.623126338329765
UHGV-0000034_23	450	12450	27.666666666666668
UHGV-0000035_79	589	12311	20.901528013582343
UHGV-0000037_27	438	12462	28.45205479452055
UHGV-0000039_26	415	12485	30.08433734939759
UHGV-0000043_32	465	12435	26.741935483870968
UHGV-0000049_21	583	12317	21.126929674099486
UHGV-0000050_146	616	12284	19.941558441558442
UHGV-0000058_18	543	12357	22.756906077348066
UHGV-0000074_18	414	12486	30.159420289855074
UHGV-0000079_65	581	12319	21.203098106712563
UHGV-0000081_25	464	12436	26.801724137931036
UHGV-0000083_29	404	12496	30.93069306930693
UHGV-0000084_20	590	12310	20.864406779661017
UHGV-0000085_35	420	12480	29.714285714285715
UHGV-0000087_30	476	12424	26.100840336134453
UHGV-0000089_25	458	12442	27.16593886462882
UHGV-0000107_34	543	12357	22.756906077348066
UHGV-0000114_11	620	12280	19.806451612903224
UHGV-0000122_14	551	12349	22.41197822141561
UHGV-0000128_43	428	12472	29.14018691588785
UHGV-0000129_21	457	12443	27.227571115973742
UHGV-0000134_56	717	12183	16.99163179916318
UHGV-0000137_42	544	12356	22.71323529411765
UHGV-0000140_19	764	12136	15.884816753926701
UHGV-0000142_26	446	12454	27.923766816143498
UHGV-0000144_22	552	12348	22.369565217391305
UHGV-0000146_26	422	12478	29.56872037914692
UHGV-0000149_25	450	12450	27.666666666666668
UHGV-0000150_28	443	12457	28.119638826185103
UHGV-0000151_32	426	12474	29.281690140845072
UHGV-0000152_12	410	12490	30.463414634146343
UHGV-0000154_114	630	12270	19.476190476190474
UHGV-0000158_48	552	12348	22.369565217391305
UHGV-0000159_31	446	12454	27.923766816143498
UHGV-0000180_15	412	12488	30.310679611650485
UHGV-0000181_9	483	12417	25.70807453416149
UHGV-0000182_24	493	12407	25.16632860040568
UHGV-0000188_179	567	12333	21.75132275132275
UHGV-0000189_15	711	12189	17.143459915611814
UHGV-0000193_21	559	12341	22.076923076923077
UHGV-0000198_21	633	12267	19.379146919431278
UHGV-0000199_39	573	12327	21.513089005235603
UHGV-0000200_24	445	12455	27.98876404494382
UHGV-0000202_25	447	12453	27.859060402684563
UHGV-0000206_46	495	12405	25.060606060606062
UHGV-0000207_20	542	12358	22.800738007380073
UHGV-0000213_25	552	12348	22.369565217391305
UHGV-0000214_115	591	12309	20.82741116751269
UHGV-0000215_25	582	12318	21.164948453608247
UHGV-0000218_18	464	12436	26.801724137931036
UHGV-0000221_15	543	12357	22.756906077348066
UHGV-0000224_30	445	12455	27.98876404494382
