Profile	Meta_mean	Isolate_mean	Meta_n	Isolate_n	t	p	Cohen_d	q	Name
NF010446.0	0.09210214553723305	0.010422678068656769	26044	596	66.71781744995286	0.0	0.30591498303718784	0.0	conjugal transfer protein TrbF
NF010449.0	0.0804991990041482	0.007712082262210797	22763	441	63.31720713623488	0.0	0.29032248187035214	0.0	conjugal transfer protein TrbL
NF010448.0	0.07909170960452377	0.007712082262210797	22365	441	62.58459782772866	0.0	0.28696331676647746	0.0	conjugal transfer protein TrbJ
NF010447.0	0.07963631605563473	0.010125386915691727	22519	579	60.56568211414495	0.0	0.27770617092627115	0.0	conjugal transfer protein TrbE
NF010450.0	0.06009413911512061	0.007712082262210797	16993	441	51.998055360382864	0.0	0.23842183140164336	0.0	IncP-type conjugal transfer protein TraG
PF05930	0.04662892126477563	0.0004842045243708735	56118	107	102.77957925464986	0.0	0.23786721916500655	0.0	Prophage CP4-57 regulatory protein (AlpA)
K21758	0.05086002519120412	0.006632628527870204	226285	8414	222.43653230572932	0.0	0.2238827562981988	0.0	benzoate transport porin
K16517	0.05085080999341001	0.006632628527870204	226244	8414	222.40854133035003	0.0	0.22385458333283903	0.0	porin-like protein GalP
PF10038	0.049547902703942326	0.009077703512971703	59631	2006	86.16866001348944	0.0	0.19942385136448537	0.0	Protein of unknown function (DUF2274)
K18093	0.05264867260694799	0.012055239847482652	234243	15293	198.0897869126879	0.0	0.19937771475226837	0.0	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
TIGR04360.1	0.03947689489449134	0.004319465575433258	11163	247	42.68738513147234	0.0	0.19573048396242904	0.0	putative entry exclusion protein TrbK-alt
TIGR03745.1	0.027180812878174365	0.0008918734588951262	7686	51	38.52859626922607	0.0	0.17666157744126387	0.0	TIGR03745 family integrating conjugative element membrane protein
PF16793	0.0267793489333628	0.001298754191536829	32229	287	73.85939414423633	0.0	0.17093598574453045	0.0	RepB DNA-primase from phage plasmid
TIGR03750.1	0.027117157578693863	0.0016963083433887693	7668	97	37.18513359504133	4.832973641111201e-302	0.17050152339734048	1.6015696669414825e-301	TIGR03750 family conjugal transfer protein
TIGR03751.1	0.024991777857150434	0.0008044348844936432	7067	46	36.929544046331166	6.082056643923098e-298	0.16932959248822763	2.0050466689615144e-297	TIGR03751 family conjugal transfer lipoprotein
PF11843	0.028846649195431333	0.0026382358664319558	34717	583	72.98158294490932	0.0	0.16890442937457803	0.0	Protein of unknown function (DUF3363)
TIGR03746.1	0.02639219444572148	0.0016963083433887693	7463	97	36.59756513315958	1.167899747945427e-292	0.167807400554	3.8171846130734885e-292	TIGR03746 family integrating conjugative element protein
TIGR03754.1	0.026017335459891856	0.0016963083433887693	7357	97	36.29043838181684	8.187563139067692e-288	0.16639916091849696	2.6684182144011615e-287	type IV conjugative transfer system coupling protein TraD
TIGR01690.1	0.025723813801176207	0.0016963083433887693	7274	97	36.04832861104339	5.064852241731193e-284	0.16528903757738414	1.641344811972119e-283	integrative conjugative element protein, RAQPRD family
TIGR03749.1	0.025699058962489345	0.0016963083433887693	7267	97	36.02784350451802	1.0573224056000181e-283	0.1651951091298607	3.4244799814651407e-283	TIGR03749 family integrating conjugative element protein
TIGR03765.1	0.023609043296212863	0.0008044348844936432	6676	46	35.79133908967041	5.0289906640003535e-280	0.1641106875042492	1.6196349786198101e-279	integrating conjugative element protein
TIGR03744.1	0.02348173269725186	0.0008044348844936432	6640	46	35.68489311555066	2.232119327470571e-278	0.16362261071139483	7.144529592345681e-278	conjugative transfer ATPase
PF10074	0.03689150495803081	0.008059516429014259	44399	1781	70.46282244693401	0.0	0.16307515317262325	0.0	Uncharacterized conserved protein (DUF2285)
TIGR03747.1	0.025129697672691523	0.0016963083433887693	7106	97	35.5537865532284	2.3490429618691547e-276	0.16302146002448928	7.472803152182975e-276	TIGR03747 family integrating conjugative element membrane protein
TIGR03758.1	0.02473362025370173	0.0016963083433887693	6994	97	35.22065584178941	2.9914287950455025e-271	0.16149398685713828	9.44809436757473e-271	TIGR03758 family integrating conjugative element protein
TIGR03748.1	0.022905298596400645	0.0008044348844936432	6477	46	35.19927791001012	6.33656199075409e-271	0.16139596462128594	1.9969242441126464e-270	integrating conjugative element protein PilL, PFGI-1 class
TIGR03755.1	0.02262238615426508	0.0008044348844936432	6397	46	34.95869909377919	2.862347307114467e-267	0.1602928610231864	8.976007473214298e-267	integrating conjugative element protein
TIGR03759.1	0.022576412882418052	0.0008044348844936432	6384	46	34.919462685726316	1.1231677280305731e-266	0.1601129539824182	3.518275264104526e-266	TIGR03759 family integrating conjugative element protein
TIGR03756.1	0.022367764956343072	0.0008044348844936432	6325	46	34.740883041370715	5.550709809171435e-264	0.15929412940209062	1.732099903919745e-263	TIGR03756 family integrating conjugative element protein
TIGR02783.1	0.12535850311026867	0.0744277145305423	35448	4256	34.64560814929596	1.4996341994860877e-262	0.1588572743293841	4.677060775835902e-262	P-type conjugative transfer protein TrbL
K08303	0.019246727256217563	0.0	85632	0	157.7817990355321	0.0	0.15880765490990142	0.0	U32 family peptidase [EC:3.4.-.-]
TIGR03752.1	0.023432223019878136	0.0016963083433887693	6626	97	34.1056717848545	1.6430058192058246e-254	0.1563815544979737	5.077171870040462e-254	TIGR03752 family integrating conjugative element protein
TIGR03761.1	0.02140939905860885	0.0008044348844936432	6054	46	33.9096346205181	1.2695563229375017e-251	0.15548268358020695	3.912585264497211e-251	TIGR03761 family integrating conjugative element protein
TIGR03764.1	0.020125683852418724	0.0008044348844936432	5691	46	32.76607463054962	4.182907034930878e-235	0.15023922466167092	1.2645946624886115e-234	ParB family protein
TIGR02780.1	0.11947038790832222	0.0723117010300264	33783	4135	32.72303803459911	1.7066164113666035e-234	0.15004189297392415	5.156792883976278e-234	P-type conjugative transfer protein TrbJ
NF041267.1	0.01814176035194308	0.0	5130	0	32.504800799616596	2.072564091010397e-231	0.14904123014367146	6.229666120195642e-231	relaxase/mobilization nuclease RlxS
K24847	0.016238077556902722	0.0	72246	0	144.70403518792023	0.0	0.14564486287178413	0.0	23S rRNA 5-hydroxycytidine C2501 synthase
TIGR00979.1	0.017324850675276636	0.0	4899	0	31.751332348555916	6.426741307373184e-221	0.14558642155976972	1.9017704499532957e-220	class II fumarate hydratase
NF040584.1	0.01872526726384768	0.0008044348844936432	5295	46	31.475206519969916	3.905834552850909e-217	0.1443203275627444	1.1474892785403363e-216	STY4534 family ICE replication protein
NF007829.0	0.016345266344382242	0.0	4622	0	30.825267089296528	2.3352207415593613e-208	0.14134022093592324	6.742920435895169e-208	bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG
K08994	0.020991096770365363	0.0027905282848419925	93393	3540	140.3157313989412	0.0	0.14122802748253208	0.0	ion channel-forming bestrophin family protein
PF11000	0.029110878087448132	0.007082056828415112	35035	1565	60.235968616257395	0.0	0.13940670366980057	0.0	Protein of unknown function (DUF2840)
PF18932	0.016057306095045958	0.0	19325	0	60.05215582893774	0.0	0.13898129779750792	0.0	Family of unknown function (DUF5681)
TIGR02775.1	0.11829630127345964	0.07477746882814823	33451	4276	30.25725620350496	7.758703031161947e-201	0.13873577362134779	2.2212635041190508e-200	P-type conjugative transfer protein TrbG
NF040582.1	0.017370823947123665	0.0008044348844936432	4912	46	30.17845240739788	8.362253067555787e-200	0.13837444192809434	2.385701610449739e-199	STY4528 family pathogenicity island replication protein
NF010180.0	0.015475310584815383	0.0	4376	0	29.980479301529883	3.195171447640556e-197	0.137466694318262	9.056942147026698e-197	DUF1283 family protein
K07165	0.04688130735336822	0.01981196253755192	208583	25133	136.04913433384382	0.0	0.13693369012235915	0.0	transmembrane sensor
K03670	0.01421275689049558	0.0	63235	0	135.24023211735883	0.0	0.13611952863582116	0.0	periplasmic glucans biosynthesis protein
K01488	0.02156850757848876	0.0037766726024514082	95962	4791	134.56644904939813	0.0	0.1354413648070722	0.0	adenosine deaminase [EC:3.5.4.4]
TIGR03760.1	0.018032131780615548	0.0014689680499449136	5099	84	29.51860704731671	2.904868200668641e-191	0.13534891456746365	8.153291178237681e-191	integrating conjugative element relaxase, PFGI-1 class
K21053	0.020588774720329984	0.00342430928512814	91603	4344	132.9712505933453	0.0	0.13383579478904623	0.0	adenine deaminase [EC:3.5.4.2]
K18286	0.021110220058923324	0.0037766726024514082	93923	4791	132.41664532620555	0.0	0.13327758362392125	0.0	aminodeoxyfutalosine deaminase [EC:3.5.4.40]
NF007624.0	0.01444975298207396	0.0	4086	0	28.954963140940738	4.076662446460854e-184	0.13276449075612773	1.129817878019151e-183	peptidyl-dipeptidase Dcp
K21589	0.020913779013263592	0.0037766726024514082	93049	4791	131.48636082126524	0.0	0.13234125065312452	0.0	cAMP deaminase [EC:3.5.4.46]
